"gene_id"	"AUX_11c_S1_L002_R1_001_Count.count"	"AUX_23b_S4_L002_R1_001_Count.count"	"AUX_28a_S7_L002_R1_001_Count.count"	"AUX_C_19c_S9_L002_R1_001_Count.count"	"AUX_C_21cc_S11_L002_R1_001_Count.count"	"AUX_C_26b_S13_L002_R1_001_Count.count"	"CK_14bb_S15_L002_R1_001_Count.count"	"CK_17a_S17_L002_R1_001_Count.count"	"CK_25c_S2_L002_R1_001_Count.count"	"GA3_13ab_S5_L002_R1_001_Count.count"	"GA3_15ab_S8_L002_R1_001_Count.count"	"GA3_24b_S10_L002_R1_001_Count.count"	"GA3_CK_C_12c_S12_L002_R1_001_Count.count"	"GA3_CK_C_16ab_S14_L002_R1_001_Count.count"	"GA3_CK_C_20b_S16_L002_R1_001_Count.count"	"W_C_18cc_S18_L002_R1_001_Count.count"	"W_C_22a_S3_L002_R1_001_Count.count"	"W_C_27b.pooled_S6_L002_R1_001_Count.count"
"PAC:17816740"	0	0	1	5	0	1	0	0	0	0	0	1	0	0	0	1	1	0
"PAC:17816741"	2	0	0	0	0	0	2	0	1	0	1	0	5	0	1	2	0	0
"PAC:17816742"	0	0	3	4	2	0	2	4	5	1	2	2	1	0	1	1	4	1
"PAC:17816743"	4	0	2	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0
"PAC:17816744"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"PAC:17816745"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"PAC:17816746"	1	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	2	1
"PAC:17816747"	6	2	11	2	6	8	2	6	1	1	1	2	1	5	13	5	6	2
"PAC:17816748"	2	3	2	8	2	6	3	6	3	6	2	0	6	11	3	1	0	3
"PAC:17816749"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816750"	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	3	0	0
"PAC:17816751"	0	1	2	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0
"PAC:17816752"	0	1	2	1	2	1	0	1	2	2	0	1	1	3	2	0	1	0
"PAC:17816753"	0	1	1	2	4	2	2	0	2	0	0	0	1	1	3	1	0	2
"PAC:17816754"	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0
"PAC:17816755"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"PAC:17816756"	13	38	53	28	26	24	20	51	24	32	31	35	26	24	19	20	27	21
"PAC:17816757"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816758"	2	8	10	9	5	3	4	9	7	7	3	6	14	5	6	11	5	3
"PAC:17816759"	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
"PAC:17816760"	0	1	3	1	1	0	2	0	0	1	1	0	0	2	1	1	0	1
"PAC:17816761"	2	1	1	0	3	2	1	2	2	1	2	1	2	5	3	1	5	0
"PAC:17816762"	2	2	18	6	5	4	11	7	5	6	3	3	8	6	8	4	7	3
"PAC:17816763"	1	2	1	1	1	1	3	1	2	1	0	1	2	1	0	0	0	0
"PAC:17816764"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"PAC:17816765"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"PAC:17816766"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816767"	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0
"PAC:17816768"	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0
"PAC:17816769"	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0
"PAC:17816770"	1	2	3	2	1	1	1	0	2	0	0	0	0	3	0	1	0	2
"PAC:17816771"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816772"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816773"	0	1	3	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0
"PAC:17816774"	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0
"PAC:17816775"	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	2	1	0
"PAC:17816776"	0	0	2	0	0	0	2	1	0	0	2	0	1	0	0	0	1	0
"PAC:17816777"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"PAC:17816778"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816779"	0	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	1	0
"PAC:17816780"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816781"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816782"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"PAC:17816783"	15	12	21	4	14	9	15	18	13	10	12	9	6	13	6	14	8	19
"PAC:17816784"	5	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"PAC:17816785"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816786"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816787"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"PAC:17816788"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816789"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816790"	4	2	3	2	3	1	2	2	3	0	3	5	1	2	0	3	2	2
"PAC:17816791"	36	73	51	15	40	44	40	41	27	55	47	17	35	26	56	26	41	29
"PAC:17816792"	0	2	2	0	1	0	2	2	1	0	2	3	2	0	0	1	0	0
"PAC:17816793"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816794"	8	19	28	3	11	8	10	7	7	9	7	6	3	5	6	10	10	5
"PAC:17816795"	2	0	2	2	3	3	1	1	6	2	2	1	6	1	3	0	1	2
"PAC:17816796"	4	1	5	5	3	3	6	1	3	0	1	3	2	2	3	0	3	3
"PAC:17816797"	55	56	72	43	19	26	20	34	30	36	65	34	35	37	52	23	43	33
"PAC:17816798"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816799"	1	0	3	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0
"PAC:17816800"	0	0	1	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0
"PAC:17816801"	0	0	1	0	0	0	1	2	1	3	0	0	0	0	2	0	0	0
"PAC:17816802"	0	1	2	0	0	3	2	2	5	4	0	2	4	0	1	5	3	4
"PAC:17816803"	0	6	12	6	2	3	6	2	2	2	11	3	4	5	3	4	6	0
"PAC:17816804"	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	0	0
"PAC:17816805"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3
"PAC:17816806"	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0
"PAC:17816807"	1	0	0	0	0	0	1	0	5	0	0	0	2	0	1	0	0	2
"PAC:17816808"	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"PAC:17816809"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816810"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816811"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"PAC:17816812"	2	1	0	0	2	0	0	1	0	0	2	0	1	0	1	0	0	0
"PAC:17816813"	1	0	2	0	2	2	2	1	3	0	0	1	1	4	2	0	0	0
"PAC:17816814"	276	313	445	293	281	219	241	303	235	257	277	219	205	271	239	239	299	276
"PAC:17816815"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816816"	1	0	0	2	1	1	2	0	0	0	0	0	0	0	1	0	1	0
"PAC:17816817"	0	3	1	2	1	0	2	4	0	0	1	0	1	0	0	2	1	1
"PAC:17816818"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"PAC:17816819"	0	1	2	4	3	0	1	0	0	1	0	1	1	1	0	1	2	0
"PAC:17816820"	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	1	2
"PAC:17816821"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"PAC:17816822"	1	0	2	1	2	1	2	0	2	3	0	0	0	0	1	1	0	3
"PAC:17816823"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816824"	0	1	7	2	1	0	0	0	3	2	3	2	0	0	2	1	1	1
"PAC:17816825"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"PAC:17816826"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816827"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816828"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816829"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816830"	0	1	5	5	3	1	3	1	0	2	3	1	1	1	0	0	0	0
"PAC:17816831"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816832"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816833"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816834"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"PAC:17816835"	3	3	6	0	4	5	7	4	5	1	7	2	9	9	8	6	2	5
"PAC:17816836"	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"PAC:17816837"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PAC:17816838"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
