Gene_Name	logFC	logCPM	PValue
PAC:17816989	-1.671394143098526	3.267023837341577	0.5000000000000385
PAC:17816990	0	3.2117346173740993	1
PAC:17816991	0.29090657808729853	3.440685729071046	1
PAC:17816992	2.549618554279418	3.497175979681091	0.5201089834069369
PAC:17816993	0	3.2117346173740993	1
PAC:17816994	0.1332983265176711	3.8822842621921634	1
PAC:17816996	0	3.2117346173740993	1
PAC:17816997	4.313827925366584	4.077280052793931	0.06428692815993789
PAC:17816998	0.9716796245504865	3.272524413061196	1
PAC:17816999	0.36053959048529804	3.443271386203129	1
PAC:17817000	-0.1735641447250618	3.9103752063660644	1
PAC:17817002	-0.7019843372631698	3.3259889917569767	0.866439315585899
PAC:17817003	0.970295071742177	3.2699117472084214	1
PAC:17817005	0	3.2117346173740993	1
PAC:17817006	2.896035197481874	3.558756152082098	0.5853330863681212
PAC:17817007	1.5606215522346307	4.660339001358254	0.07775376513203862
PAC:17817008	0.39922260170291146	4.896422276264211	0.5447673032222488
PAC:17817009	0	3.2117346173740993	1
PAC:17817010	0	3.2117346173740993	1
PAC:17817012	1.7219255349361888	3.76377967312662	0.49768526009585756
PAC:17817013	0.9702851696221103	3.269620298482921	1
PAC:17817014	-1.6713923619120816	3.2670029925171433	0.5000000000000385
PAC:17817015	0	3.2117346173740993	1
PAC:17817016	0.5283924402843335	4.287066983458117	0.6649028984765917
PAC:17817017	0.26833688499540664	3.434280200269996	1
PAC:17817018	-0.33986123760327325	3.7519656545811335	0.9172664663329533
PAC:17817019	-1.9487225593836612	3.4264567621910755	0.11636610581417933
PAC:17817020	-2.9175757067765438	3.371573678234762	0.03133080098336325
PAC:17817021	1.0707604520797	4.809477262846679	0.1049298619390444
PAC:17817022	-0.6889420900183627	3.328611023274626	0.8545586305948518
PAC:17817023	-0.18186286506914484	5.824348454281648	0.7346848658626278
PAC:17817024	3.1089101897251785	3.632630187293679	0.22837566301026235
PAC:17817025	-1.9486205627785376	3.426436895726089	0.11638641078582249
PAC:17817026	-0.3756561177593104	4.1332743163232495	0.5722463525883653
PAC:17817027	-0.4185089491736169	4.429856989787473	0.5782303863641829
PAC:17817028	-0.87974294219188	3.430825212318615	0.5235585527033799
PAC:17817029	1.4636955642627072	3.325215137536134	1
PAC:17817030	1.2308361784313082	6.894483357844844	0.002720273645570208
PAC:17817031	0.3164505292482553	3.623533390661719	1
PAC:17817032	-2.3137729805408687	3.470538878372954	0.10176440387983843
PAC:17817033	-1.0099574286240893	3.615931372635491	0.48748034473798074
PAC:17817034	3.888579990276303	3.9141168864017857	0.09054165191688365
PAC:17817035	1.9552634539030231	3.384331617744785	0.8439922792749863
PAC:17817036	-0.44866435779956326	3.6173293953725425	0.6756745663007891
PAC:17817037	1.8327655270407484	5.427726840145321	0.02509177643399523
PAC:17817038	2.3688585222513194	4.013725511072375	0.2009750139913351
PAC:17817039	2.4997164702391124	3.4860462177216918	0.600864771058022
PAC:17817040	0	3.2117346173740993	1
PAC:17817041	0	3.2117346173740993	1
PAC:17817042	0	3.2117346173740993	1
PAC:17817043	0.970295071742177	3.2699117472084214	1
PAC:17817044	-0.4501082294921041	4.551434428668282	0.6160935071297657
PAC:17817045	0.9849492632951102	4.363653882485102	0.29752186317413937
PAC:17817046	-1.9364330893170127	3.428083181604091	0.11951122462429817
PAC:17817047	-1.6366600719662379	4.113088144519557	0.02664233452594417
PAC:17817048	-1.020052882482265	4.28900990165543	0.12541181837314383
PAC:17817049	-1.937553084356713	3.774255090390346	0.02333656748198703
PAC:17817050	-0.18126670485498642	3.5259381754692516	0.8995546573600873
PAC:17817051	0.3352417208594146	3.6334922385882695	1
PAC:17817052	-0.2658984464292465	15.298809928554023	0.42006889763671273
PAC:17817053	1.7874860872938372	4.3806170182470625	0.047851374740135476
PAC:17817054	-2.9345821550071975	3.3725086897594148	0.11698250079495572
PAC:17817055	0.9703781602888863	3.2720963003385846	1
PAC:17817056	0	3.2117346173740993	1
PAC:17817057	0.970304997224154	3.2702069149514985	1
PAC:17817058	0	3.2117346173740993	1
PAC:17817059	2.6788837973022113	3.5303630433980078	0.5354239124875897
PAC:17817060	0.9920182501152908	3.2747786749734438	1
PAC:17817061	0.2472078493626977	3.9188531541357285	0.9260353708215507
PAC:17817063	0.2834975309637403	3.4337438043660167	1
PAC:17817064	2.559642059420805	3.500425401491826	0.4101048229608451
PAC:17817065	0.412626840211788	6.051247209217627	0.4531657150955359
PAC:17817066	1.2627549738323967	4.92189533608378	0.060635966947678456
PAC:17817067	3.748636123940651	3.8489451961145327	0.043134357049782086
PAC:17817069	-1.6714341548468787	3.2674963427785184	0.5000000000000385
PAC:17817070	0.03355966576362286	4.7017961588183494	1
PAC:17817071	-1.1203228440100652	4.1299850841077586	0.12953194120928713
PAC:17817072	3.538595918230811	7.682510379541193	2.2086248333645262e-8
PAC:17817073	-0.39183552810908323	3.6237416003085543	1
PAC:17817074	0.9892129825849627	3.2746025550673674	1
PAC:17817075	-0.5345451201850626	3.704347669966528	0.7981088940026705
PAC:17817076	-1.7388761028237194	3.5194836121867685	0.2073339686925397
PAC:17817077	0	3.2117346173740993	1
