Gene_Name	Direction_Differentially_Regulated
PAC:17817192	0
PAC:17817194	0
PAC:17817195	0
PAC:17817196	0
PAC:17817197	0
PAC:17817198	0
PAC:17817199	-1
PAC:17817201	0
PAC:17817202	0
PAC:17817203	0
PAC:17817204	0
PAC:17817205	0
PAC:17817206	0
PAC:17817207	0
PAC:17817210	0
PAC:17817213	0
PAC:17817214	0
PAC:17817215	0
PAC:17817216	0
PAC:17817217	0
PAC:17817218	0
PAC:17817219	0
PAC:17817220	0
PAC:17817221	0
PAC:17817222	0
PAC:17817223	0
PAC:17817224	0
PAC:17817227	0
PAC:17817228	0
PAC:17817230	0
PAC:17817236	0
PAC:17817237	0
PAC:17817238	0
PAC:17817239	0
PAC:17817240	0
PAC:17817241	0
PAC:17817243	-1
PAC:17817244	0
PAC:17817245	0
PAC:17817246	0
PAC:17817247	0
PAC:17817248	0
PAC:17817249	-1
PAC:17817250	0
PAC:17817252	0
PAC:17817253	0
PAC:17817254	0
PAC:17817256	0
PAC:17817257	0
PAC:17817258	0
PAC:17817259	0
PAC:17817260	0
PAC:17817261	0
PAC:17817263	0
PAC:17817265	0
PAC:17817266	0
PAC:17817267	0
PAC:17817268	0
PAC:17817269	0
PAC:17817270	0
PAC:17817271	0
PAC:17817272	0
PAC:17817273	0
PAC:17817275	0
PAC:17817276	0
PAC:17817278	0
PAC:17817279	0
PAC:17817281	0
PAC:17817282	0
PAC:17817284	0
PAC:17817285	0
PAC:17817289	0
PAC:17817290	0
PAC:17817292	0
PAC:17817294	0
PAC:17817295	0
PAC:17817296	0
PAC:17817298	0
PAC:17817299	0
PAC:17817300	0
PAC:17817301	0
PAC:17817302	0
PAC:17817303	0
PAC:17817305	0
PAC:17817309	0
PAC:17817311	0
PAC:17817312	0
PAC:17817313	0
PAC:17817314	0
PAC:17817316	0
PAC:17817317	0
PAC:17817318	0
PAC:17817319	0
PAC:17817320	0
PAC:17817321	0
PAC:17817323	0
PAC:17817324	0
PAC:17817325	0
PAC:17817331	0
PAC:17817332	0
PAC:17817333	0
PAC:17817334	0
PAC:17817336	0
PAC:17817337	0
PAC:17817338	0
PAC:17817341	0
PAC:17817342	0
PAC:17817344	0
PAC:17817345	0
PAC:17817346	0
PAC:17817347	0
PAC:17817348	-1
PAC:17817349	0
PAC:17817350	0
PAC:17817351	0
PAC:17817352	0
PAC:17817353	0
PAC:17817354	0
PAC:17817355	0
PAC:17817356	0
PAC:17817357	0
PAC:17817358	0
PAC:17817359	0
PAC:17817360	0
PAC:17817361	0
PAC:17817362	0
PAC:17817363	0
PAC:17817364	0
PAC:17817365	0
PAC:17817367	1
PAC:17817368	0
PAC:17817369	0
PAC:17817370	0
PAC:17817371	0
PAC:17817372	0
PAC:17817373	0
PAC:17817374	0
PAC:17817375	0
PAC:17817376	0
PAC:17817377	0
PAC:17817378	0
PAC:17817379	0
PAC:17817380	0
PAC:17817381	0
PAC:17817382	0
PAC:17817384	0
PAC:17817385	0
PAC:17817386	0
PAC:17817387	1
PAC:17817388	0
PAC:17817389	0
